Symbol,Company Name,Industry,Series,ISIN Code,priority,priority_category,primary_index,indices,categories
360ONE,360 ONE WAM Ltd.,Financial Services,EQ,INE466L01038,3,thematic,Nifty Capital Markets,Nifty 200|Nifty 500|Nifty Capital Markets|Nifty Financial Services Ex-Bank|Nifty LargeMidcap 250|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Total Market,thematic|sectoral|broad
3MINDIA,3M India Ltd.,Diversified,EQ,INE470A01017,3,thematic,Nifty MNC,Nifty 500|Nifty LargeMidcap 250|Nifty MNC|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market,thematic|broad
ABB,ABB India Ltd.,Capital Goods,EQ,INE117A01022,3,thematic,Nifty Energy,Nifty 100|Nifty 200|Nifty 500|Nifty Energy|Nifty India Manufacturing|Nifty LargeMidcap 250|Nifty MNC|Nifty Next 50|Nifty Total Market,thematic|broad
ABBOTINDIA,Abbott India Ltd.,Healthcare,EQ,INE358A01014,3,thematic,Nifty MNC,Nifty 500|Nifty Healthcare|Nifty LargeMidcap 250|Nifty MNC|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Pharma|Nifty Total Market,thematic|sectoral|broad
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,EQ,INE404A01024,3,thematic,Nifty Capital Markets,Nifty 500|Nifty Capital Markets|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market,thematic|broad
ACC,ACC Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE012A01025,3,thematic,Nifty Housing,Nifty 500|Nifty Housing|Nifty LargeMidcap 250|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Rural|Nifty Total Market,thematic|broad
ADANIENSOL,Adani Energy Solutions Ltd.,Power,EQ,INE931S01010,3,thematic,Nifty Commodities,Nifty 100|Nifty 200|Nifty 500|Nifty Commodities|Nifty Energy|Nifty LargeMidcap 250|Nifty Next 50|Nifty Total Market,thematic|broad
ADANIGREEN,Adani Green Energy Ltd.,Power,EQ,INE364U01010,3,thematic,Nifty Commodities,Nifty 100|Nifty 200|Nifty 500|Nifty Commodities|Nifty Energy|Nifty Housing|Nifty Infrastructure|Nifty LargeMidcap 250|Nifty Next 50|Nifty Rural|Nifty Total Market,thematic|broad
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,EQ,INE742F01042,3,thematic,Nifty Infrastructure,Nifty 100|Nifty 200|Nifty 50|Nifty 500|Nifty Infrastructure|Nifty LargeMidcap 250|Nifty Mobility|Nifty Services Sector|Nifty Total Market|Nifty Transportation & Logistics,thematic|broad
ADANIPOWER,Adani Power Ltd.,Power,EQ,INE814H01029,3,thematic,Nifty Commodities,Nifty 100|Nifty 200|Nifty 500|Nifty Commodities|Nifty Energy|Nifty India Consumption|Nifty LargeMidcap 250|Nifty Next 50|Nifty Rural|Nifty Total Market,thematic|broad
