name,category,csv_name,source_url,local_path,row_count,downloaded_at,ok,error
Nifty 50,broad,ind_nifty50list.csv,https://www.niftyindices.com/IndexConstituent/ind_nifty50list.csv,data/niftyindices/broad/ind_nifty50list.csv,50,2026-09-05T19:01:04.840300+00:00,True,
Nifty Next 50,broad,ind_niftynext50list.csv,https://www.niftyindices.com/IndexConstituent/ind_niftynext50list.csv,data/niftyindices/broad/ind_niftynext50list.csv,50,2026-09-05T19:01:05.680421+00:00,True,
Nifty 100,broad,ind_nifty100list.csv,https://www.niftyindices.com/IndexConstituent/ind_nifty100list.csv,data/niftyindices/broad/ind_nifty100list.csv,100,2026-09-05T19:01:06.490648+00:00,True,
Nifty 200,broad,ind_nifty200list.csv,https://www.niftyindices.com/IndexConstituent/ind_nifty200list.csv,data/niftyindices/broad/ind_nifty200list.csv,200,2026-09-05T19:01:07.513776+00:00,True,
Nifty 500,broad,ind_nifty500list.csv,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,data/niftyindices/broad/ind_nifty500list.csv,500,2026-09-05T19:01:08.273998+00:00,True,
Nifty Midcap 50,broad,ind_niftymidcap50list.csv,https://www.niftyindices.com/IndexConstituent/ind_niftymidcap50list.csv,data/niftyindices/broad/ind_niftymidcap50list.csv,50,2026-09-05T19:01:09.076785+00:00,True,
Nifty Midcap 100,broad,ind_niftymidcap100list.csv,https://www.niftyindices.com/IndexConstituent/ind_niftymidcap100list.csv,data/niftyindices/broad/ind_niftymidcap100list.csv,100,2026-09-05T19:01:10.433526+00:00,True,
Nifty Midcap 150,broad,ind_niftymidcap150list.csv,https://www.niftyindices.com/IndexConstituent/ind_niftymidcap150list.csv,data/niftyindices/broad/ind_niftymidcap150list.csv,150,2026-09-05T19:01:11.266115+00:00,True,
Nifty Smallcap 50,broad,ind_niftysmallcap50list.csv,https://www.niftyindices.com/IndexConstituent/ind_niftysmallcap50list.csv,data/niftyindices/broad/ind_niftysmallcap50list.csv,50,2026-09-05T19:01:12.299241+00:00,True,
Nifty Smallcap 100,broad,ind_niftysmallcap100list.csv,https://www.niftyindices.com/IndexConstituent/ind_niftysmallcap100list.csv,data/niftyindices/broad/ind_niftysmallcap100list.csv,100,2026-09-05T19:01:13.072841+00:00,True,
Nifty Smallcap 250,broad,ind_niftysmallcap250list.csv,https://www.niftyindices.com/IndexConstituent/ind_niftysmallcap250list.csv,data/niftyindices/broad/ind_niftysmallcap250list.csv,250,2026-09-05T19:01:13.948035+00:00,True,
Nifty LargeMidcap 250,broad,ind_niftylargemidcap250list.csv,https://www.niftyindices.com/IndexConstituent/ind_niftylargemidcap250list.csv,data/niftyindices/broad/ind_niftylargemidcap250list.csv,250,2026-09-05T19:01:14.994949+00:00,True,
