Company Name,Industry,Symbol,Series,ISIN Code
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039
Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
