nse_symbol,isin,company_name,listing_date,active_flag,segment,series
1018GS2026,IN0020010081,GOI LOAN 10.18% 2026,,True,EQ,GS
20MICRONS,INE144J01027,20 MICRONS LTD,,True,EQ,EQ
21STCENMGM,INE253B01015,21ST CENTURY MGMT SERVICE,,True,EQ,EQ
360ONE,INE466L01038,360 ONE WAM LIMITED,,True,EQ,EQ
3BBLACKBIO,INE994E01018,3B BLACKBIO DX LTD.,,True,EQ,EQ
3IINFOLTD,INE748C01038,3I INFOTECH LIMITED,,True,EQ,BE
3MINDIA,INE470A01017,3M INDIA LIMITED,,True,EQ,EQ
3PLAND,INE105C01023,3P LAND HOLDINGS LIMITED,,True,EQ,EQ
574GS2026,IN0020210186,GOI LOAN  5.74% 2026,,True,EQ,GS
591GS2028,IN0020250034,GOI LOAN  5.91% 2028,,True,EQ,GS
5PAISA,INE618L01018,5PAISA CAPITAL LIMITED,,True,EQ,EQ
601GS2030,IN0020250067,GOI LOAN  6.01% 2030,,True,EQ,GS
603GS2029,IN0020250125,GOI LOAN  6.03% 2029,,True,EQ,GS
610GS2031,IN0020210095,GOI LOAN  6.10% 2031,,True,EQ,GS
620GS2029,IN0020260058,GOI LOAN   6.20% 2029,,True,EQ,GS
628GS2032,IN0020250059,GOI LOAN  6.28% 2032,,True,EQ,GS
636GS2031,IN0020250141,GOI LOAN  6.36% 2031,,True,EQ,GS
63MOONS,INE111B01023,63 MOONS TECHNOLOGIES LTD,,True,EQ,EQ
645GS2029,IN0020190362,GOI LOAN 6.45% 2029,,True,EQ,GS
667GS2050,IN0020200252,GOI LOAN  6.67% 2050,,True,EQ,GS
668GS2040,IN0020250042,GOI LOAN  6.68% 2040,,True,EQ,GS
676GS2061,IN0020200401,GOI LOAN  6.76% 2061,,True,EQ,GS
690GS2065,IN0020250018,GOI LOAN  6.90% 2065,,True,EQ,GS
692GS2039,IN0020240134,GOI LOAN   6.92% 2039,,True,EQ,GS
694GS2036,IN0020260025,GOI LOAN  6.94% 2036,,True,EQ,GS
695GS2061,IN0020210202,GOI LOAN  6.95% 2061,,True,EQ,GS
698GR2054,IN0020240175,GOI LOAN   6.98% 2054,,True,EQ,GS
702GS2027,IN0020240043,GOI LOAN  7.02% 2027,,True,EQ,GS
706GS2028,IN0020230010,GOI LOAN  7.06% 2028,,True,EQ,GS
706GS2041,IN0020260041,GOI LOAN  7.06% 2041,,True,EQ,GS
709GS2054,IN0020240118,GOI LOAN  7.09% 2054,,True,EQ,GS
709GS2074,IN0020240142,GOI LOAN   7.09% 2074,,True,EQ,GS
710GS2029,IN0020220011,GOI LOAN 7.10% 2029,,True,EQ,GS
716GS2050,IN0020200054,GOI LOAN 7.16% 2050,,True,EQ,GS
718GS2037,IN0020230077,GOI LOAN  7.18% 2037,,True,EQ,GS
724GS2055,IN0020250075,GOI LOAN  7.24% 2055,,True,EQ,GS
725GS2063,IN0020230044,GOI LOAN  7.25% 2063,,True,EQ,GS
726GS2032,IN0020220060,GOI LOAN  7.26% 2032,,True,EQ,GS
726GS2033,IN0020220151,GOI LOAN  7.26% 2033,,True,EQ,GS
732GS2030,IN0020230135,GOI LOAN  7.32% 2030,,True,EQ,GS
733GS2026,IN0020230119,GOI LOAN  7.33% 2026,,True,EQ,GS
734GS2064,IN0020240035,GOI LOAN  7.34% 2064,,True,EQ,GS
737GS2028,IN0020230101,GOI LOAN  7.37% 2028,,True,EQ,GS
738GS2027,IN0020220037,GOI LOAN 7.38% 2027,,True,EQ,GS
73GS2053,IN0020230051,GOI LOAN  7.3% 2053,,True,EQ,GS
741GS2036,IN0020220102,GOI LOAN  7.41% 2036,,True,EQ,GS
743GS2076,IN0020250117,GOI LOAN  7.43% 2076,,True,EQ,GS
746GS2073,IN0020230127,GOI LOAN  7.46% 2073,,True,EQ,GS
74GS2062,IN0020220094,GOI LOAN  7.4% 2062,,True,EQ,GS
754GS2036,IN0020220029,GOI LOAN  7.54% 2036,,True,EQ,GS
757GS2033,IN0020190065,GOI LOAN 7.57% 2033,,True,EQ,GS
771GS2066,IN0020260033,GOI LOAN  7.71% 2066,,True,EQ,GS
897GS2030,IN0020110055,GOI LOAN 8.97% 2030,,True,EQ,GS
92GS2030,IN0020130053,GOI LOAN 9.20% 2030,,True,EQ,GS
A2ZINFRA,INE619I01012,A2Z INFRA ENGINEERING LTD,,True,EQ,EQ
AAATECH,INE0D0U01013,AAA TECHNOLOGIES LIMITED,,True,EQ,EQ
AADHARHFC,INE883F01010,AADHAR HOUSING FINANCE L,,True,EQ,EQ
AAKAAR,INE1GYP01013,AAKAAR MEDICAL TECHNO LTD,,True,SME,SM
AAKASH,INE087Z01024,AAKASH EXPLORATION SER L,,True,EQ,EQ
AARADHYA,INE124401014,AARADHYA DISPOSAL INDUS L,,True,SME,SM
AAREYDRUGS,INE198H01019,AAREY DRUGS & PHARM LTD,,True,EQ,EQ
AARNAV,INE750R01016,AARNAV FASHIONS LIMITED,,True,EQ,BE
AARON,INE721Z01010,AARON INDUSTRIES LIMITED,,True,EQ,EQ
AARTECH,INE01C001026,AARTECH SOLONICS LIMITED,,True,EQ,BE
AARTIDRUGS,INE767A01016,AARTI DRUGS LTD.,,True,EQ,EQ
AARTIIND,INE769A01020,AARTI INDUSTRIES LTD,,True,EQ,EQ
AARTIPHARM,INE0LRU01027,AARTI PHARMALABS LIMITED,,True,EQ,EQ
AARTISURF,INE09EO01013,AARTI SURFACTANTS LIMITED,,True,EQ,BE
AARVI,INE754X01016,AARVI ENCON LIMITED,,True,EQ,EQ
AASTHA,INE2FMX01012,AASTHA SPINTEX LIMITED,,True,EQ,EQ
AAVAS,INE216P01012,AAVAS FINANCIERS LIMITED,,True,EQ,EQ
ABAN,INE421A01028,ABAN OFFSHORE LTD.,,True,EQ,BE
ABANSENT,INE365O01028,ABANS ENTERPRISES LTD.,,True,EQ,EQ
ABB,INE117A01022,ABB INDIA LIMITED,,True,EQ,EQ
ABBOTINDIA,INE358A01014,ABBOTT INDIA LIMITED,,True,EQ,EQ
ABCAPITAL,INE674K01013,ADITYA BIRLA CAPITAL LTD.,,True,EQ,EQ
ABCOTS,INE08PH01015,A B COTSPIN INDIA LIMITED,,True,EQ,EQ
ABDL,INE552Z01027,ALLIED BLEND N DISTILS L,,True,EQ,EQ
ABFRL,INE647O01011,ADITYA BIRLA FASHION & RT,,True,EQ,EQ
ABGSEC,INF209KC1134,BIRLASLAMC - ABGSEC,,True,ETF,EQ
ABH,INE1R2M01019,ABH HEALTHCARE LIMITED,,True,SME,ST
